# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
VFS.fileChildByName,1741339352548000000,1741339412607000000,16923
VFS.fileByIdCache.misses,1741339352548000000,1741339412607000000,12
VFS.contentStorage.recordsReadSize,1741339352548000000,1741339412607000000,569140
VFS.contentStorage.recordsDecompressionTimeUs,1741339352548000000,1741339412607000000,10618
VFS.contentStorage.recordsDeduplicated,1741339352548000000,1741339412607000000,1
VFS.contentStorage.recordsReadDecompressed,1741339352548000000,1741339412607000000,13
VFS.contentStorage.recordsStoredSize,1741339352548000000,1741339412607000000,272982
FileNameCache.queries,1741339352548000000,1741339412607000000,12710720
VFS.fileByIdCache.hits,1741339352548000000,1741339412607000000,3
VFS.contentStorage.recordsStored,1741339352548000000,1741339412607000000,28
VFS.invertedFileNameIndex.requests,1741339352548000000,1741339412607000000,13
FileNameCache.totalMisses,1741339352548000000,1741339412607000000,64512
VFS.contentStorage.recordsRead,1741339352548000000,1741339412607000000,19
VFS.contentStorage.recordsStoredCompressed,1741339352548000000,1741339412607000000,14
VFS.contentStorage.recordsUncompressedSize,1741339352548000000,1741339412607000000,628886
FlushQueue.executionTime90PNs,1741339352548000000,1741339412607000000,0
WriteAction.executionsCount,1741339352548000000,1741339412607000000,42
FlushQueue.queueSize90P,1741339352548000000,1741339412607000000,0
FlushQueue.queueSizeAvg,1741339352548000000,1741339412607000000,0.0
NonBlockingReadAction.finalizedExecutionTimeUs,1741339352548000000,1741339412607000000,753814
NonBlockingReadAction.finalizedExecutionsCount,1741339352548000000,1741339412607000000,26
NonBlockingReadAction.failedExecutionsCount,1741339352548000000,1741339412607000000,5
FlushQueue.executionTimeMaxNs,1741339352548000000,1741339412607000000,0
ReadAction.executionsCount,1741339352548000000,1741339412607000000,324736
FlushQueue.queueSizeMax,1741339352548000000,1741339412607000000,0
FlushQueue.waitingTimeMaxNs,1741339352548000000,1741339412607000000,0
FlushQueue.tasksExecuted,1741339352548000000,1741339412607000000,0
AWTEventQueue.dispatchTimeMaxNs,1741339352548000000,1741339412607000000,0
AWTEventQueue.dispatchTime90PNs,1741339352548000000,1741339412607000000,0
FlushQueue.waitingTime90PNs,1741339352548000000,1741339412607000000,0
AWTEventQueue.eventsDispatched,1741339352548000000,1741339412607000000,0
FlushQueue.waitingTimeAvgNs,1741339352548000000,1741339412607000000,0.0
AWTEventQueue.dispatchTimeAvgNs,1741339352548000000,1741339412607000000,0.0
NonBlockingReadAction.failedExecutionTimeUs,1741339352548000000,1741339412607000000,118584
AWTEventQueue.dispatchTimeTotalNS,1741339352548000000,1741339412607000000,3115106757
FlushQueue.executionTimeAvgNs,1741339352548000000,1741339412607000000,0.0
compiler.ArtifactManagerBridge.initBridges.ms,1741339352548000000,1741339412607000000,0
compiler.ArtifactVirtualFileListener.propertyChanged.ms,1741339352548000000,1741339412607000000,0
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1741339352548000000,1741339412607000000,0
compiler.ArtifactManagerBridge.addArtifact.ms,1741339352548000000,1741339412607000000,0
compiler.ArtifactManagerBridge.findArtifact.ms,1741339352548000000,1741339412607000000,0
